名前,りくと,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,147,-359.1,1450,,,,,
,,,,,,,,,,148,-415.9,1440,,,,,
,,,,,,,,,,149,-448.4,1435,,,,,
,,,,,,,,,,150,-461.1,1434,,,,,
,,,,,,,,,,151,-504.2,1427,,,,,
,,,,,,,,,,152,-477.7,1432,,,,,
,,,,,,,,,,153,-436.9,1441,,,,,
,,,,,,,,,,154,-439.9,1441,,,,,
,,,,,,,,,,155,-381.1,1452,,,,,
,,,,,,,,,,156,-372.5,1454,,,,,
,,,,,,,,,,157,-408.2,1449,,,,,
,,,,,,,,,,158,-403.0,1450,,,,,
,,,,,,,,,,159,-410.4,1450,,,,,
,,,,,,,,,,160,-362.4,1459,,,,,
,,,,,,,,,,161,-435.0,1446,,,,,
,,,,,,,,,,162,-490.8,1437,,,,,
,,,,,,,,,,163,-539.2,1429,,,,,
