名前,りくと,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
平均アガリ点,8122,1169600,,21,三槓子,0 回,0.00%,1 位,,25,-286.9,1352,,,,,
門前アガリ点,8400,798000,,24,混老頭,0 回,0.00%,3 位,,26,-287.0,1354,,,,,
副露アガリ点,7584,371600,,26,二盃口,0 回,0.00%,5 位,,27,-350.4,1344,,,,,
平均放銃点,-9352,-794900,,27,純チャン,0 回,0.00%,1 位,,28,-357.1,1344,,,,,
連続アガリ,5 回,0 回,,31,国士無双,0 回,0.00%,4 位,,29,-413.8,1335,,,,,
連続無放銃,21 回,6 回,,32,四暗刻,0 回,0.00%,4 位,,30,-461.8,1328,,,,,
最大ドラ数,6 個,,,33,字一色,0 回,0.00%,3 位,,31,-462.3,1330,,,,,
最高点,101300,,,34,大三元,0 回,0.00%,3 位,,32,-462.8,1331,,,,,
チョンボ,2 回,0.4%,,35,大四喜,0 回,0.00%,1 位,,33,-528.4,1321,,,,,
,,,,36,小四喜,0 回,0.00%,3 位,,34,-500.0,1327,,,,,
1翻,9 回,6.3%,,37,緑一色,0 回,0.00%,1 位,,35,-413.7,1344,,,,,
2翻,30 回,20.8%,,38,清老頭,0 回,0.00%,4 位,,36,-369.5,1354,,,,,
3翻,20 回,13.9%,,39,四槓子,0 回,0.00%,1 位,,37,-374.5,1354,,,,,
4翻,33 回,22.9%,,40,九蓮宝燈,0 回,0.00%,1 位,,38,-379.0,1355,,,,,
5翻,25 回,17.4%,,41,天和,0 回,0.00%,1 位,,39,-451.9,1343,,,,,
6翻,7 回,4.9%,,42,地和,0 回,0.00%,1 位,,40,-390.9,1356,,,,,
7翻,9 回,6.3%,,43,人和,0 回,0.00%,1 位,,41,-365.1,1362,,,,,
8翻,5 回,3.5%,,44,国士13面,0 回,0.00%,1 位,,42,-400.0,1357,,,,,
9翻,3 回,2.1%,,45,四暗刻単騎,0 回,0.00%,1 位,,43,-404.0,1358,,,,,
10翻,3 回,2.1%,,46,純正九蓮,0 回,0.00%,1 位,,44,-430.9,1354,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,45,-489.9,1345,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,46,-492.8,1346,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,47,-475.7,1351,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,48,-442.5,1358,,,,,
,,,,51,オープン立直,0 回,0.00%,6 位,,49,-506.0,1348,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,50,-533.6,1344,,,,,
,,,,,,,,,,51,-530.1,1346,,,,,
,,,,,,,,,,52,-529.8,1347,,,,,
,,,,,,,,,,53,-499.2,1354,,,,,
,,,,,,,,,,54,-465.3,1361,,,,,
,,,,,,,,,,55,-510.9,1354,,,,,
,,,,,,,,,,56,-553.0,1348,,,,,
,,,,,,,,,,57,-562.3,1347,,,,,
,,,,,,,,,,58,-566.5,1348,,,,,
,,,,,,,,,,59,-528.1,1356,,,,,
,,,,,,,,,,60,-520.1,1358,,,,,
,,,,,,,,,,61,-564.3,1351,,,,,
,,,,,,,,,,62,-620.1,1342,,,,,
,,,,,,,,,,63,-612.4,1345,,,,,
